# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2060
#@/user_id	fcec34f3-dfd0-45c0-8899-0d6cff196569
dian 	點	c=7 d=1.65328 t=1996
diao zuan 	刁鑽	c=1 d=1 t=1486
diu ren 	丟人	c=1 d=1 t=1083
dong 	懂	c=1 d=1 t=773
dong man 	動漫	c=1 d=1 t=1632
dong xi 	東西	c=4 d=1.287 t=1691
dou 	都	c=20 d=2.16916 t=1971
dou hao 	都好	c=1 d=1 t=1050
dou shi 	都是	c=1 d=1 t=559
dou yin 	抖音	c=1 d=1 t=1400
du 	度	c=1 d=1 t=1033
duan wang 	斷網	c=1 d=1 t=378
dui 	對	c=10 d=2.72007 t=1831
dui de 	對的	c=1 d=1 t=940
dui xiang 	對象	c=2 d=1.76338 t=2032
duo hao 	多好	c=1 d=1 t=1488
duo shao 	多少	c=1 d=1 t=91
en en 	嗯嗯	c=2 d=1.00045 t=1915
er 	二	c=1 d=1 t=200
er ci yuan 	二次元	c=1 d=1 t=1657
er qie 	而且	c=2 d=1.03239 t=1627
er wei 	二維	c=1 d=1 t=1715
er wei ma 	二維碼	c=5 d=3.37726 t=1789
fa 	法	c=1 d=1 t=1476
fa 	發	c=1 d=1 t=486
fa ge 	發個	c=1 d=1 t=584
fa ming 	發明	c=2 d=1.9802 t=1778
fa xian 	發現	c=1 d=1 t=202
fa yi 	法醫	c=1 d=1 t=209
fan 	飯	c=1 d=0.985112 t=2060
fan fa 	犯法	c=0 d=0.1 t=598
fan fu 	反覆	c=2 d=1.956 t=930
fan wei 	範圍	c=2 d=1.69768 t=1700
fan yi 	翻譯	c=1 d=1 t=1787
fan ying 	反映	c=1 d=1 t=907
fan zao 	煩躁	c=1 d=1 t=1364
fang bian 	方便	c=2 d=1.94649 t=1511
fang fa 	方法	c=1 d=1 t=608
fang wen 	訪問	c=1 d=1 t=1348
fang xiang 	方向	c=1 d=1 t=954
fang zhi 	防止	c=1 d=1 t=1944
fen mi wu 	分泌物	c=1 d=1 t=1938
feng suo 	封鎖	c=1 d=1 t=716
fu fei 	付費	c=1 d=1 t=497
fu he 	符合	c=1 d=1 t=1698
