# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2060
#@/user_id	fcec34f3-dfd0-45c0-8899-0d6cff196569
tu 	圖	c=1 d=1 t=1564
tu 	土	c=1 d=1 t=1723
tu 	塗	c=1 d=1 t=1925
tu 	禿	c=2 d=1.01162 t=1722
tu jing 	途徑	c=3 d=2.92168 t=624
tu ran 	突然	c=1 d=1 t=377
tui guang 	推廣	c=2 d=1.93707 t=1390
tun bu 	臀部	c=1 d=1 t=897
wa 	哇	c=8 d=1.26311 t=747
wai bu 	外部	c=1 d=1 t=1347
wan 	玩	c=6 d=1.21697 t=2004
wan gou 	玩夠	c=1 d=1 t=264
wan shang 	晚上	c=2 d=1.06081 t=966
wan yi 	萬一	c=2 d=1.49907 t=1756
wang ji 	忘記	c=1 d=1 t=1351
wei du 	維度	c=1 d=1 t=1847
wei lai 	未來	c=1 d=1 t=1539
wei sha 	爲啥	c=6 d=2.9968 t=1167
wei shen me 	爲什麼	c=4 d=2.08541 t=2033
wen 	問	c=3 d=2.75621 t=709
wen dang 	文檔	c=1 d=1 t=498
wen hua 	文化	c=1 d=1 t=1867
wen ti 	問題	c=2 d=1.31982 t=939
wen xian 	文獻	c=2 d=1.90484 t=476
wo 	我	c=134 d=9.50069 t=2053
wo men 	我們	c=1 d=1 t=1025
wu 	嗚	c=1 d=1 t=53
wu wu 	嗚嗚	c=2 d=1.00546 t=1094
wu wu wu 	嗚嗚嗚	c=11 d=1.28102 t=2036
wu wu wu wo 	嗚嗚嗚我	c=1 d=1 t=1459
xi gai 	膝蓋	c=1 d=1 t=1177
xi huan 	喜歡	c=6 d=2.68137 t=1503
xi ma la ya 	喜馬拉雅	c=1 d=1 t=199
xi tong 	系統	c=1 d=1 t=104
xi tou 	洗頭	c=1 d=1.03707 t=1085
xi xi 	嘻嘻	c=3 d=1.03645 t=1974
xia 	下	c=1 d=1 t=114
xia 	嚇	c=2 d=1.00211 t=1613
xia 	夏	c=1 d=1 t=166
xia ci 	下次	c=1 d=1 t=86
xia lai 	下來	c=1 d=1 t=1712
xia lou 	下樓	c=1 d=1 t=980
xia zai 	下載	c=6 d=1.25395 t=1262
xia zhou 	下週	c=1 d=1 t=1527
xian 	先	c=2 d=1.00583 t=1127
xian mu 	羨慕	c=2 d=1.80654 t=2029
xian shi 	現實	c=2 d=1.55975 t=369
xian shi dian 	現實點	c=1 d=1 t=370
xian zai 	現在	c=9 d=2.57291 t=1860
xian zhi 	限制	c=2 d=1.93239 t=454
xiang 	想	c=10 d=1.16312 t=1989
xiang dang yu 	相當於	c=1 d=1 t=924
xiang guan 	相關	c=1 d=1 t=1634
xiang xin 	相信	c=1 d=1 t=961
xiao 	小	c=4 d=1.17032 t=1453
xiao cheng xu 	小程序	c=1 d=1 t=1685
xiao ji ji 	小雞雞	c=4 d=2.09569 t=1291
xiao si 	笑死	c=1 d=1 t=1186
xiao xia 	小夏	c=2 d=1.94176 t=1395
xie 	寫	c=4 d=1.02831 t=2057
xie dai ma 	寫代碼	c=1 d=1 t=111
xie de 	寫的	c=1 d=1 t=172
xie ge 	寫個	c=1 d=1 t=1414
xie wan 	寫完	c=1 d=1 t=151
xie xie 	謝謝	c=0 d=0.1 t=749
xie xie nin 	謝謝您	c=1 d=1 t=750
xin 	心	c=1 d=1 t=427
xin 	新	c=1 d=1 t=25
xin li 	心裏	c=1 d=1 t=1357
xin qing 	心情	c=2 d=1.00775 t=1366
xing 	行	c=2 d=1.03159 t=1901
xiong 	熊	c=1 d=1 t=124
xu yao 	需要	c=1 d=1 t=629
xuan ze 	選擇	c=1 d=1 t=356
xuan zhe 	懸着	c=1 d=1 t=428
xue 	學	c=2 d=1.03491 t=1534
xue ge 	學個	c=1 d=1 t=1436
xue guo 	學過	c=1 d=1 t=812
xue ke 	學科	c=2 d=1.60653 t=953
xue mei 	學妹	c=3 d=2.12149 t=2037
xue shu 	學術	c=1 d=1 t=551
xue xi 	學習	c=2 d=1.04807 t=1742
xue zhang 	學長	c=2 d=1.78179 t=1964
xun chang 	尋常	c=0 d=0.1 t=41
xun chang lu 	尋常路	c=1 d=1 t=42
yan jiu chu 	研究出	c=1 d=1 t=1619
yao 	要	c=10 d=2.10624 t=2034
yao bei 	腰背	c=1 d=1 t=896
yao bu 	要不	c=1 d=1 t=787
yao bu yao 	要不要	c=1 d=0.153131 t=597
yao qing 	邀請	c=1 d=1 t=95
yao shi 	要是	c=1 d=1 t=726
ye 	也	c=15 d=2.81287 t=2044
ye 	頁	c=1 d=1 t=1378
ye bu 	也不	c=0 d=0.1 t=1148
ye bu gen 	也不跟	c=1 d=1 t=1149
ye bu shi 	也不是	c=2 d=1.01576 t=1772
ye de 	也得	c=1 d=1 t=1031
ye shi 	也是	c=4 d=1.26974 t=1688
yi 	一	c=4 d=3.00454 t=1853
yi 	以	c=1 d=1 t=502
yi fen 	一份	c=1 d=1 t=597
yi ge 	一個	c=9 d=2.42645 t=2054
yi ge ren 	一個人	c=1 d=1 t=1899
yi ge yue 	一個月	c=1 d=1 t=1220
yi hui 	一會	c=1 d=1 t=994
yi jing 	已經	c=4 d=1.19001 t=1658
yi kai shi 	一開始	c=1 d=1 t=1757
yi kou 	一口	c=0 d=0.1 t=271
yi qi 	一起	c=2 d=1.01391 t=2003
yi qian 	以前	c=1 d=1 t=365
yi si 	意思	c=2 d=1.43605 t=451
yi tian 	一天	c=1 d=1 t=35
yi wei 	以爲	c=0 d=0.1 t=769
yi xue 	醫學	c=3 d=1.21732 t=1230
yi yang 	一樣	c=4 d=1.61241 t=1728
yi zhi 	一直	c=3 d=1.1947 t=1371
yi zhong 	一種	c=1 d=1 t=1802
yi zi 	椅子	c=0 d=0.1 t=1369
yi zi hai 	椅子還	c=1 d=1 t=1370
yin 	音	c=1 d=1 t=106
yin wei 	因爲	c=7 d=2.83312 t=1994
ying gai 	應該	c=3 d=2.01694 t=1583
ying mian 	迎面	c=1 d=1 t=1099
ying she 	映射	c=2 d=1.93239 t=1345
ying yu 	英語	c=1 d=1 t=1671
yong 	用	c=16 d=3.08761 t=1953
yong dao 	用到	c=1 d=1 t=1645
you 	又	c=5 d=3.2541 t=1845
you 	有	c=6 d=1.03954 t=1846
you de 	有的	c=1 d=1 t=1402
you dian 	有點	c=5 d=1.04031 t=1311
you mei you 	有沒有	c=3 d=1.60763 t=1302
you mei you ji gou 	有沒有機構	c=1 d=1 t=501
you mei zi 	有妹子	c=1 d=1 t=421
you ren 	有人	c=1 d=1 t=575
you sha 	有啥	c=1 d=1 t=1513
you suo 	有所	c=1 d=1 t=1827
you xiang 	郵箱	c=1 d=1 t=90
you zhi 	優質	c=1 d=1 t=325
yu jian 	遇見	c=1 d=1 t=268
yu ren bu shu 	遇人不淑	c=3 d=2.37465 t=367
yu shi ju jin 	與時俱進	c=1 d=1 t=1615
yu yan 	語言	c=1 d=1 t=1674
yuan cheng 	遠程	c=1 d=1 t=167
yuan lai 	原來	c=1 d=1 t=1834
yuan wei 	原味	c=1 d=1 t=1303
yuan yi 	願意	c=1 d=1 t=1142
yuan yin 	原因	c=2 d=1.04264 t=1792
yue 	越	c=1 d=1 t=776
yue duo 	越多	c=1 d=1 t=775
za 	咋	c=2 d=1.48191 t=534
za ban 	咋辦	c=1 d=1 t=1444
zai 	再	c=4 d=2.04588 t=1839
zai 	在	c=7 d=1.91951 t=1840
zan men 	咱們	c=4 d=1.28966 t=655
zao cheng 	造成	c=1 d=1 t=932
zen me 	怎麼	c=3 d=2.41413 t=1342
zen me ban 	怎麼辦	c=1 d=1 t=778
zhan 	站	c=1 d=1 t=1389
zhang 	長	c=2 d=1.96561 t=1958
zhang hao 	帳號	c=1 d=1 t=507
zhao 	找	c=5 d=2.69881 t=2031
zhao dao 	找到	c=1 d=1 t=1445
zhao dui xiang 	找對象	c=1 d=1 t=2000
zhao hu 	招呼	c=1 d=1 t=972
zhao ni 	找你	c=1 d=1 t=576
zhe 	着	c=1 d=1 t=1129
zhe 	這	c=15 d=4.62454 t=1857
zhe bu shi 	這不是	c=1 d=1 t=758
zhe ge 	這個	c=18 d=1.86259 t=1918
zhe hui 	這回	c=1 d=1 t=1474
zhe ju hua 	這句話	c=1 d=1 t=818
zhe shi 	這是	c=2 d=1.00127 t=1829
zhe xie 	這些	c=2 d=1.36422 t=1835
zhe yang 	這樣	c=2 d=1.08543 t=1138
zhe zhong 	這種	c=4 d=1.0832 t=1460
zhen 	真	c=0 d=0.1 t=117
zhen de 	真的	c=10 d=2.26186 t=1882
zhen hao 	真好	c=1 d=1 t=1166
zhen hao kan 	真好看	c=1 d=1 t=118
zheng ban 	正版	c=0 d=0.1 t=386
zheng ban na 	正版那	c=1 d=1 t=387
zheng que 	正確	c=1 d=1 t=1780
zheng zhuang 	症狀	c=1 d=1 t=934
zhi 	直	c=1 d=1 t=889
zhi chi 	支持	c=1 d=1 t=386
zhi dao 	知道	c=6 d=1.5386 t=1809
zhi hou 	之後	c=1 d=1 t=781
zhi ji 	之際	c=1 d=1 t=484
zhi jie 	直接	c=2 d=1.02858 t=1196
zhi neng 	只能	c=1 d=1 t=1822
zhi qian 	之前	c=4 d=1.12367 t=1350
zhi shao 	至少	c=1 d=1 t=1030
zhi shi 	只是	c=2 d=1.0014 t=1936
zhi shi 	知識	c=2 d=1.00538 t=1801
zhi wei 	職位	c=1 d=1 t=140
zhi yu 	治癒	c=1 d=1 t=121
zhi yu 	至於	c=1 d=1 t=707
zhong 	種	c=1 d=1 t=1116
zhong yao 	重要	c=2 d=1.97045 t=1817
zhong yi 	中意	c=1 d=1 t=1270
zhong yu 	終於	c=1 d=1 t=649
zhu bo 	主播	c=1 d=1 t=385
zhu ce 	註冊	c=1 d=1 t=1202
zhu jian 	逐漸	c=1 d=1 t=829
zhu yao 	主要	c=2 d=1.55711 t=1790
zhu zuo quan 	著作權	c=1 d=1 t=513
zhuang 	裝	c=1 d=1 t=1381
zhuang bi 	裝逼	c=1 d=1 t=1869
zi 	子	c=1 d=1 t=1007
zi fu chuan 	字符串	c=1 d=1 t=101
zi ji 	自己	c=5 d=1.05805 t=2028
zi yuan 	資源	c=3 d=1.75071 t=519
zou 	走	c=2 d=1.00509 t=1097
zu 	足	c=1 d=1 t=1173
zui 	嘴	c=2 d=1.94176 t=251
zui xin 	最新	c=1 d=1 t=1664
zun zhong 	尊重	c=1 d=1 t=512
zuo 	做	c=1 d=1 t=109
zuo dao 	做到	c=1 d=1 t=530
zuo wan 	昨晚	c=1 d=1 t=193
zuo zhe 	坐着	c=1 d=1 t=1372
